"otuids"	"Rank1"	"Rank2"	"Rank3"	"Rank4"	"Rank5"	"Rank6"	"Rank7"
"4346961"	"k__Bacteria"	"p__Chloroflexi"	"c__Ellin6529"	"o__"	"f__"	"g__"	"s__"
"912372"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__Ellin5290"	"f__"	"g__"	"s__"
"1019914"	"k__Bacteria"	"p__Bacteroidetes"	"c__Cytophagia"	"o__Cytophagales"	"f__Cytophagaceae"	"g__"	"s__"
"811187"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"
"540592"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__"	"g__"	"s__"
"939101"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"
"1038987"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__Flavisolibacter"	"s__"
"107428"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	"o__[Pedosphaerales]"	"f__"	"g__"	"s__"
"811435"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"
"775560"	"k__Bacteria"	"p__Acidobacteria"	"c__PAUC37f"	"o__"	"f__"	"g__"	"s__"
"743788"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinosynnemataceae"	"g__Saccharothrix"	"s__"
"589500"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Hyphomicrobium"	"s__"
"578951"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__Gemmatimonadales"	"f__Gemmatimonadaceae"	"g__Gemmatimonas"	"s__"
"206278"	"k__Bacteria"	"p__Chloroflexi"	"c__Ellin6529"	"o__"	"f__"	"g__"	"s__"
"214676"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__N1423WL"	"f__"	"g__"	"s__"
"244063"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Gaiellales"	"f__Gaiellaceae"	"g__"	"s__"
"4402900"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	"s__"
"221791"	"k__Bacteria"	"p__Acidobacteria"	"c__iii1-8"	"o__32-20"	"f__"	"g__"	"s__"
"1107738"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"
"1897510"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__Haliangiaceae"	"g__"	"s__"
"691349"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	"g__"	"s__"
"735782"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__RB41"	"f__"	"g__"	"s__"
"255838"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-5"	"o__"	"f__"	"g__"	"s__"
"878663"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__"	"s__"
"215003"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	"f__"	"g__"	"s__"
"254007"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	"o__[Pedosphaerales]"	"f__"	"g__"	"s__"
"731014"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micromonosporaceae"	"g__Pilimelia"	"s__"
"1106796"	"k__Bacteria"	"p__Bacteroidetes"	"c__Cytophagia"	"o__Cytophagales"	"f__Cytophagaceae"	"g__"	"s__"
"552989"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__MND1"	"f__"	"g__"	"s__"
"206609"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Ellin6067"	"f__"	"g__"	"s__"
"813418"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__"	"s__"
"828667"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__"	"s__"
"217700"	"k__Bacteria"	"p__Armatimonadetes"	"c__[Fimbriimonadia]"	"o__[Fimbriimonadales]"	"f__[Fimbriimonadaceae]"	"g__Fimbriimonas"	"s__"
"576136"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Ellin329"	"f__"	"g__"	"s__"
"534301"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Syntrophobacterales"	"f__Syntrophobacteraceae"	"g__"	"s__"
"535892"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Oxalobacteraceae"	"g__"	"s__"
"852722"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Spirobacillales"	"f__"	"g__"	"s__"
"807260"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Pirellulales"	"f__Pirellulaceae"	"g__"	"s__"
"849156"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Oxalobacteraceae"	"g__"	"s__"
"207403"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__"	"f__"	"g__"	"s__"
"963779"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__"	"s__"
"540510"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__Flavisolibacter"	"s__"
"4297391"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Intrasporangiaceae"	"g__Phycicoccus"	"s__"
"565604"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__"	"g__"	"s__"
"864507"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"
"547608"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__RB41"	"f__"	"g__"	"s__"
"780555"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas"	"s__"
"541299"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__Caulobacteraceae"	"g__Phenylobacterium"	"s__"
"1105280"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__"	"s__"
"586388"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Phyllobacteriaceae"	"g__"	"s__"
"4477117"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__B97"	"f__"	"g__"	"s__"
"808319"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__"	"g__"	"s__"
"3468909"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__N1423WL"	"f__"	"g__"	"s__"
"221349"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__N1423WL"	"f__"	"g__"	"s__"
"816291"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Gaiellales"	"f__Gaiellaceae"	"g__"	"s__"
"331647"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__"	"s__"
"4434837"	"k__Bacteria"	"p__Verrucomicrobia"	"c__Verrucomicrobiae"	"o__Verrucomicrobiales"	"f__Verrucomicrobiaceae"	"g__Luteolibacter"	"s__"
"876066"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__"	"g__"	"s__"
"976441"	"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	"o__Sphingobacteriales"	"f__Sphingobacteriaceae"	"g__Pedobacter"	"s__"
"573135"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bradyrhizobiaceae"	"g__Bradyrhizobium"	"s__"
"247867"	"k__Bacteria"	"p__Planctomycetes"	"c__Phycisphaerae"	"o__WD2101"	"f__"	"g__"	"s__"
"1107011"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Spartobacteria]"	"o__[Chthoniobacterales]"	"f__[Chthoniobacteraceae]"	"g__DA101"	"s__"
"959372"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Syntrophobacterales"	"f__Syntrophobacteraceae"	"g__"	"s__"
"810882"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__mb2424"	"g__"	"s__"
"906820"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__Skermanella"	"s__"
"1068902"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Nocardioidaceae"	"g__Aeromicrobium"	"s__"
"854930"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"
"205244"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"
"944435"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__Haliangiaceae"	"g__"	"s__"
"822806"	"k__Bacteria"	"p__Chloroflexi"	"c__Anaerolineae"	"o__SBR1031"	"f__A4b"	"g__"	"s__"
"17991"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micromonosporaceae"	"g__Actinoplanes"	"s__"
"250148"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Kineosporiaceae"	"g__"	"s__"
"878714"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"
"562332"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	"f__"	"g__"	"s__"
"3609950"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-5"	"o__"	"f__"	"g__"	"s__"
"4339351"	"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	"o__Sphingobacteriales"	"f__Sphingobacteriaceae"	"g__Pedobacter"	"s__"
"664216"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__RB41"	"f__"	"g__"	"s__"
"1028953"	"k__Bacteria"	"p__Verrucomicrobia"	"c__Verrucomicrobiae"	"o__Verrucomicrobiales"	"f__Verrucomicrobiaceae"	"g__Luteolibacter"	"s__"
"1053775"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Devosia"	"s__"
"4320381"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	"g__"	"s__"
"968121"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Nocardioidaceae"	"g__"	"s__"
"1105814"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bradyrhizobiaceae"	"g__Bradyrhizobium"	"s__"
"987899"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	"f__"	"g__"	"s__"
"535678"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Streptomycetaceae"	"g__Amycolatopsis"	"s__coloradensis"
"1118109"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__MND1"	"f__"	"g__"	"s__"
"946179"	"k__Bacteria"	"p__Actinobacteria"	"c__MB-A2-108"	"o__0319-7L14"	"f__"	"g__"	"s__"
"313833"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__Haliangiaceae"	"g__"	"s__"
"358590"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemm-1"	"o__"	"f__"	"g__"	"s__"
"249571"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micromonosporaceae"	"g__"	"s__"
"1106748"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	"o__[Pedosphaerales]"	"f__OPB35"	"g__"	"s__"
"4476891"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Erythrobacteraceae"	"g__"	"s__"
"541511"	"k__Bacteria"	"p__Bacteroidetes"	"c__Cytophagia"	"o__Cytophagales"	"f__Cytophagaceae"	"g__"	"s__"
"1106324"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Comamonadaceae"	"g__"	"s__"
"150877"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	"s__"
"1115404"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Saprospiraceae"	"g__"	"s__"
"811449"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__Caulobacteraceae"	"g__"	"s__"
"350446"	"k__Bacteria"	"p__Acidobacteria"	"c__Solibacteres"	"o__Solibacterales"	"f__Solibacteraceae"	"g__Candidatus Solibacter"	"s__"
"788268"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Cellulomonadaceae"	"g__Cellulomonas"	"s__"
"1110303"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	"g__"	"s__"
"591683"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Pedomicrobium"	"s__"
"254949"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__"	"g__"	"s__"
"216748"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	"s__"
"222900"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__Polyangiaceae"	"g__"	"s__"
"984175"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	"f__"	"g__"	"s__"
"610753"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Phyllobacteriaceae"	"g__"	"s__"
"672471"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Syntrophobacterales"	"f__Syntrophobacteraceae"	"g__"	"s__"
"893232"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__"	"g__"	"s__"
"1107128"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Spartobacteria]"	"o__[Chthoniobacterales]"	"f__[Chthoniobacteraceae]"	"g__DA101"	"s__"
"791738"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Comamonadaceae"	"g__"	"s__"
"551895"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"
"578508"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Spartobacteria]"	"o__[Chthoniobacterales]"	"f__[Chthoniobacteraceae]"	"g__Candidatus Xiphinematobacter"	"s__"
"370301"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Acetobacteraceae"	"g__Roseomonas"	"s__"
"173004"	"k__Bacteria"	"p__Nitrospirae"	"c__Nitrospira"	"o__Nitrospirales"	"f__Nitrospiraceae"	"g__Nitrospira"	"s__"
"754410"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__"	"s__"
"1059762"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	"g__"	"s__"
"1144575"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__"	"g__"	"s__"
"1080447"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"
"3276016"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Gemmatales"	"f__Gemmataceae"	"g__"	"s__"
"141365"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__"	"s__"
"2259380"	"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	"o__Sphingobacteriales"	"f__"	"g__"	"s__"
"994823"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Patulibacteraceae"	"g__"	"s__"
"865520"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"
"538315"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Pseudonocardiaceae"	"g__Pseudonocardia"	"s__"
"102024"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	"o__[Pedosphaerales]"	"f__Ellin515"	"g__"	"s__"
"676066"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bradyrhizobiaceae"	"g__Bradyrhizobium"	"s__"
"559780"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	"g__"	"s__"
"249773"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Gaiellales"	"f__Gaiellaceae"	"g__"	"s__"
"209233"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"
"1071316"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__Flavisolibacter"	"s__"
"709971"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bradyrhizobiaceae"	"g__Pseudomonas"	"s__carboxydohydrogena"
"356083"	"k__Bacteria"	"p__Acidobacteria"	"c__Solibacteres"	"o__Solibacterales"	"f__"	"g__"	"s__"
"879040"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Kaistobacter"	"s__"
"210344"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Pedomicrobium"	"s__"
"4350559"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemm-1"	"o__"	"f__"	"g__"	"s__"
"1069213"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"
"624858"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__11-24"	"f__"	"g__"	"s__"
"4369011"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	"o__[Pedosphaerales]"	"f__"	"g__"	"s__"
"654742"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Kaistobacter"	"s__"
"367995"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Kaistobacter"	"s__"
"833645"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__"	"g__"	"s__"
"800292"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__"	"g__"	"s__"
"217929"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	"o__[Pedosphaerales]"	"f__"	"g__"	"s__"
"592301"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Comamonadaceae"	"g__"	"s__"
"922761"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Erwinia"	"s__"
"810700"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__"	"s__"
"1111883"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemm-1"	"o__"	"f__"	"g__"	"s__"
"814282"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Erythrobacteraceae"	"g__"	"s__"
"588861"	"k__Bacteria"	"p__Chloroflexi"	"c__Chloroflexi"	"o__[Roseiflexales]"	"f__[Kouleothrixaceae]"	"g__"	"s__"
"225453"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Alteromonadales"	"f__Alteromonadaceae"	"g__Cellvibrio"	"s__"
"993474"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Pseudonocardiaceae"	"g__Pseudonocardia"	"s__"
"969805"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Agrobacterium"	"s__"
"662808"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	"s__chondroitinus"
